Data;QAV
2002-01-01;0.3891
2002-01-07;0.3887
2002-01-14;0.3892
2002-01-21;0.389
2002-01-28;0.3973
2002-02-04;0.4043
2002-02-11;0.4044
2002-02-18;0.4039
2002-02-25;0.4115
2002-03-04;0.4186
2002-03-11;0.4191
2002-03-18;0.4192
2002-03-25;0.4191
2002-04-01;0.4714
2002-04-08;0.4712
2002-04-15;0.4712
2002-04-22;0.4728
2002-04-29;0.491
2002-05-06;0.4955
2002-05-13;0.4942
2002-05-20;0.4951
2002-05-27;0.5052
2002-06-03;0.53
2002-06-10;0.5295
2002-06-17;0.5303
2002-06-24;0.5307
2002-07-01;0.5597
2002-07-08;0.5592
2002-07-15;0.5604
2002-07-22;0.5594
2002-07-29;0.5975
2002-08-05;0.6227
2002-08-12;0.6226
2002-08-19;0.6219
2002-08-26;0.6313
2002-09-02;0.6892
2002-09-09;0.688
2002-09-16;0.6889
2002-09-23;0.6891
2002-09-30;0.789
2002-10-07;0.8026
2002-10-14;0.8033
2002-10-21;0.8028
2002-10-28;0.8541
2002-11-04;0.9211
2002-11-11;0.9209
2002-11-18;0.922
2002-11-25;0.8876
2002-12-02;0.7785
2002-12-09;0.7786
2002-12-16;0.7794
2002-12-23;0.7794
2002-12-30;0.7791
2003-01-06;0.8962
2003-01-13;0.8966
2003-01-20;0.8967
2003-01-27;0.9021
2003-02-03;0.9214
2003-02-10;0.9206
2003-02-17;0.9222
2003-02-24;0.9294
2003-03-03;1.1889
2003-03-10;1.1906
2003-03-17;1.1904
2003-03-24;1.1902
2003-03-31;1.0216
2003-04-07;1.0182
2003-04-14;1.0098
2003-04-21;1.0078
2003-04-28;0.9021
2003-05-05;0.7927
2003-05-12;0.8092
2003-05-19;0.7913
2003-05-26;0.791
2003-06-02;0.7
2003-06-09;0.7008
2003-06-16;0.7003
2003-06-23;0.701
2003-06-30;0.7073
2003-07-07;0.7065
2003-07-14;0.7073
2003-07-21;0.7066
2003-07-28;0.715
2003-08-04;0.7272
2003-08-11;0.7274
2003-08-18;0.729
2003-08-25;0.729
2003-09-01;0.805
2003-09-08;0.8056
2003-09-15;0.8073
2003-09-22;0.8057
2003-09-29;0.7355
2003-10-06;0.7143
2003-10-13;0.7173
2003-10-20;0.7155
2003-10-27;0.7388
2003-11-03;0.7737
2003-11-10;0.7717
2003-11-17;0.7663
2003-11-24;0.7694
2003-12-01;0.825
2003-12-08;0.8215
2003-12-15;0.8381
2003-12-22;0.8366
2003-12-29;0.8504
2004-01-05;0.8589
2004-01-12;0.8803
2004-01-19;0.8984
2004-01-26;0.9053
2004-02-02;0.9266
2004-02-09;0.9278
2004-02-16;0.9036
2004-02-23;0.9018
2004-03-01;0.9235
2004-03-08;0.9284
2004-03-15;0.909
2004-03-22;0.9109
2004-03-29;0.9141
2004-04-05;0.9096
2004-04-12;0.8901
2004-04-19;0.8725
2004-04-26;0.8924
2004-05-03;0.9304
2004-05-10;0.9423
2004-05-17;1.0218
2004-05-24;1.0208
2004-05-31;1.0391
2004-06-07;1.0877
2004-06-14;1.0419
2004-06-21;1.0263
2004-06-28;1.0353
2004-07-05;1.0374
2004-07-12;1.0462
2004-07-19;1.0686
2004-07-26;1.0755
2004-08-02;1.0911
2004-08-09;1.0885
2004-08-16;1.144
2004-08-23;1.1446
2004-08-30;1.1509
2004-09-06;1.1561
2004-09-13;1.1431
2004-09-20;1.1372
2004-09-27;1.1798
2004-10-04;1.2329
