Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene ,Custo de combustível - querosene (póspandemia),Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV
Aviação Comercial,EMBRAER 170 (E170),4,2012,2013,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Overland Airways,São José dos Campos,Nigéria,6930,3982,1,"R$ 104.626,40","R$ 128.341,72","R$ 45.865,89","R$ 106.951,43","R$ 418.505,61","R$ 183.463,56"
Aviação Comercial,EMBRAER 175 (E175),24,2012,2013,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Aercap,São José dos Campos,Irlanda,9254,4074,2,"R$ 157.275,84","R$ 192.925,03","R$ 68.946,23","R$ 160.770,86","R$ 3.774.620,19","R$ 1.654.709,61"
Aviação Comercial,EMBRAER 190 (E190),45,2012,2013,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Regional,São José dos Campos,França,9108,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 95.596,11","R$ 222.913,82","R$ 9.813.054,18","R$ 4.301.824,88"
Aviação Comercial,EMBRAER 195 (E195),17,2012,2013,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Finnair,São José dos Campos,Finlândia,11359,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 95.596,11","R$ 222.913,82","R$ 3.707.153,80","R$ 1.625.133,84"
Aviação Executiva,Jatos leves,90,2012,2013,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Aurigny,São José dos Campos,Guernesei,9138,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 21.188,71","R$ 49.408,47","R$ 4.350.093,40","R$ 1.906.984,28"
Aviação Executiva,Jatos Grandes,29,2012,2013,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,97","R$ 4,60",Placar Linhas Aéreas,São José dos Campos,Brasil,124,5790,0,"R$ 101.348,07","R$ 124.320,30","R$ 44.428,74","R$ 103.600,25","R$ 2.939.094,03","R$ 1.288.433,51"
Aviação Comercial,EMBRAER 170 (E170),1,2013,2014,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Luxair,São José dos Campos,Luxemburgo,9595,3982,2,"R$ 156.939,60","R$ 192.512,58","R$ 60.596,12","R$ 160.427,15","R$ 156.939,60","R$ 60.596,12"
Aviação Comercial,EMBRAER 175 (E175),62,2013,2014,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Overland Airways,São José dos Campos,Nigéria,6930,4074,1,"R$ 104.850,56","R$ 128.616,69","R$ 40.483,97","R$ 107.180,57","R$ 6.500.734,76","R$ 2.510.005,92"
Aviação Comercial,EMBRAER 190 (E190),19,2013,2014,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",NAS Air,São José dos Campos,Arábia Saudita,11114,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 84.198,43","R$ 222.913,82","R$ 4.143.289,54","R$ 1.599.770,13"
Aviação Comercial,EMBRAER 195 (E195),10,2013,2014,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",Air Canada,São José dos Campos,Canadá,10478,4260,2,"R$ 218.067,87","R$ 267.496,59","R$ 84.198,43","R$ 222.913,82","R$ 2.180.678,71","R$ 841.984,28"
Aviação Executiva,Jatos leves,92,2013,2014,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",M1 Travel,São José dos Campos,Líbano,10704,2182,4,"R$ 48.334,37","R$ 59.290,16","R$ 18.662,44","R$ 49.408,47","R$ 4.446.762,14","R$ 1.716.944,27"
Aviação Executiva,Jatos Grandes,24,2013,2014,2,22522,11106,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",KLM,São José dos Campos,Países Baixos,9731,5790,1,"R$ 202.696,14","R$ 248.640,60","R$ 78.263,23","R$ 207.200,50","R$ 4.864.707,35","R$ 1.878.317,56"
Aviação Comercial,EMBRAER 170 (E170),2,2014,2015,2,11625,21140,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Luxair,São José dos Campos,Luxemburgo,9595,3982,2,"R$ 156.939,60","R$ 192.512,58","R$ 55.849,57","R$ 160.427,15","R$ 313.879,20","R$ 111.699,15"
Aviação Comercial,EMBRAER 175 (E175),82,2014,2015,2,11650,21810,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Air Astana,São José dos Campos,Cazaquistão,13569,4074,3,"R$ 209.701,12","R$ 257.233,38","R$ 74.625,64","R$ 214.361,15","R$ 17.195.491,95","R$ 6.119.302,40"
Aviação Comercial,EMBRAER 190 (E190),8,2014,2015,2,16153,28080,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Kenya Airways,São José dos Campos,Quênia,9367,4537,2,"R$ 218.067,87","R$ 267.496,59","R$ 77.603,09","R$ 222.913,82","R$ 1.744.542,96","R$ 620.824,69"
Aviação Comercial,EMBRAER 195 (E195),9,2014,2015,2,16153,28970,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",JAL,São José dos Campos,Japão,18506,4260,4,"R$ 363.446,45","R$ 445.827,65","R$ 129.338,48","R$ 371.523,04","R$ 3.271.018,06","R$ 1.164.046,29"
Aviação Executiva,Jatos leves,82,2014,2015,2,2148,3190,"R$ 4,50","R$ 5,52","R$ 1,60","R$ 4,60",Copa,São José dos Campos,Panamá,5180,2182,2,"R$ 29.000,62","R$ 35.574,10","R$ 10.320,35","R$ 29.645,08","R$ 2.378.051,06","R$ 846.269,10"
