Segmento,Modelo do Avião,Quantidade entregue,Ano de fabricação,Ano de entrega,Quantidade de Motores,Tamanho do tanque (litros),Peso do avião vazio ,Custo de combustível - AVGAS (pré pandemia),Custo de combustível AVGAS (pós pandemia),Custo de combustível - querosene,Custo de combustível - querosene (póspandemia),Quantidade encomendada,Pedidos Firmes em Carteira,Cliente,Origem,Destino,Distância (km),Autonomia (km),Parada para reabastecer,Frete (pre pandemia - AVGAS) ,Frete (pos pandemia - AVGAS),Frete - QAV,Frete (pos pandemia - QAV),Custo total AVGAs,Custo total QAV,Custo de Transporte (entregas futuras - AVGAS),Custo de Transporte (entregas futuras - QAV)
Aviação Comercial,EMBRAER 170 (E170),1,2016,2017,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",1,0,Airnorth,São José dos Campos,Austrália,14613,3982,3,"R$ 209.252,80","R$ 466.771,20","R$ 83.980,12","R$ 213.902,86","R$ 209.252,80","R$ 83.980,12","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),6,2016,2017,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,81","R$ 4,60",6,0,Alitalia,São José dos Campos,Itália,9397,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 62.985,09","R$ 160.427,15","R$ 941.637,61","R$ 377.910,56","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),6,2003,2004,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,06","R$ 4,60",6,0,BA CityFlyer,São José dos Campos,Reino Unido,9614,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 37.076,11","R$ 160.427,15","R$ 941.637,61","R$ 222.456,65","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),1,2004,2005,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,15","R$ 4,60",1,0,Cirrus,São José dos Campos,Alemanha,9923,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 39.932,41","R$ 160.427,15","R$ 156.939,60","R$ 39.932,41","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),6,2013,2014,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",6,0,ECC Leasing,São José dos Campos,Irlanda,9254,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 60.596,12","R$ 160.427,15","R$ 941.637,61","R$ 363.576,74","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),12,2002,2003,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 0,84","R$ 4,60",12,0,EgyptAir,São José dos Campos,Egito,9932,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 29.176,82","R$ 160.427,15","R$ 1.883.275,22","R$ 350.121,79","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),10,2003,2004,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,06","R$ 4,60",10,0,Finnair,São José dos Campos,Finlândia,11359,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 37.076,11","R$ 160.427,15","R$ 1.569.396,02","R$ 370.761,09","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),9,2013,2014,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",9,0,GECAS,São José dos Campos,EUA,8490,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 60.596,12","R$ 160.427,15","R$ 1.412.456,42","R$ 545.365,12","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),18,2013,2014,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 1,74","R$ 4,60",18,0,JAL,São José dos Campos,Japão,18506,3982,4,"R$ 261.566,00","R$ 583.464,00","R$ 100.993,54","R$ 267.378,58","R$ 4.708.188,06","R$ 1.817.883,72","R$ 0,00","R$ 0,00"
Aviação Comercial,EMBRAER 170 (E170),6,2018,2019,2,11625,21.140,"R$ 4,50","R$ 5,52","R$ 2,35","R$ 4,60",6,0,LOT Polish,São José dos Campos,Polônia,10454,3982,2,"R$ 156.939,60","R$ 350.078,40","R$ 82.037,56","R$ 160.427,15","R$ 941.637,61","R$ 492.225,37","R$ 0,00","R$ 0,00"
